"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Sarampo";"Haemophilus influenzae b";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"24 Rio Grande do Norte";"103,51";"70,95";"54,88";"56,54";"68,84";"71,49";"78,07";"86,38";"47,79";"0,86";"59,11";"78,76";"79,35";"71,87";"94,99";"65,60";"39,25";"82,95";"31,00";"70,16";"79,94";"18,50";"41,80";"34,71";"70,79";"74,39";"69,85"
"25 Paraíba";"106,78";"72,14";"60,10";"54,97";"75,63";"79,85";"84,26";"92,93";"56,12";"0,69";"64,92";"80,24";"79,39";"76,52";"105,76";"68,26";"36,40";"86,05";"32,96";"72,31";"77,32";"23,83";"39,75";"34,77";"71,96";"77,31";"73,11"
"26 Pernambuco";"113,02";"74,06";"62,07";"56,29";"76,09";"81,48";"87,16";"103,75";"55,60";"2,66";"67,30";"84,85";"87,75";"79,28";"99,59";"72,76";"43,00";"88,86";"32,80";"77,41";"94,92";"21,44";"52,91";"44,85";"76,94";"80,06";"76,19"
"27 Alagoas";"104,72";"73,04";"53,31";"51,56";"73,42";"78,80";"78,87";"85,77";"57,30";"0,64";"68,41";"83,32";"81,79";"78,53";"94,20";"69,37";"41,51";"75,90";"32,22";"75,90";"69,27";"20,08";"48,63";"39,67";"70,69";"77,92";"71,56"
"28 Sergipe";"104,69";"83,99";"62,55";"58,87";"77,77";"78,10";"84,43";"96,14";"60,53";"0,80";"64,93";"83,68";"85,12";"76,92";"104,99";"73,06";"40,75";"90,57";"32,08";"78,10";"90,73";"26,36";"40,50";"30,48";"74,10";"79,55";"75,12"
"29 Bahia";"101,62";"64,68";"52,60";"57,89";"69,76";"69,77";"73,78";"87,08";"45,53";"65,96";"61,71";"75,14";"79,16";"70,52";"104,02";"67,48";"38,07";"81,72";"28,78";"72,80";"77,30";"22,73";"35,14";"31,11";"71,42";"75,85";"73,13"
"31 Minas Gerais";"99,55";"71,82";"64,16";"73,85";"86,49";"84,54";"92,37";"95,45";"73,82";"75,54";"74,20";"89,04";"91,72";"85,24";"106,53";"81,83";"41,07";"88,70";"39,25";"84,55";"81,78";"33,54";"33,06";"36,64";"72,36";"77,95";"78,56"
"32 Espírito Santo";"102,61";"73,27";"66,22";"62,74";"95,17";"82,01";"90,89";"101,36";"72,48";"19,42";"72,95";"88,02";"88,57";"80,58";"106,03";"80,72";"44,07";"93,10";"38,56";"74,42";"91,54";"25,27";"51,44";"49,51";"76,08";"78,67";"77,58"
"33 Rio de Janeiro";"109,32";"65,55";"59,10";"64,87";"75,23";"78,18";"77,87";"98,20";"56,18";"6,80";"66,75";"78,79";"78,91";"70,67";"103,70";"72,25";"43,17";"88,83";"30,79";"65,84";"86,78";"30,18";"38,34";"40,71";"68,84";"72,34";"71,24"
"35 São Paulo";"105,54";"72,79";"64,96";"75,27";"81,03";"81,61";"87,78";"97,40";"75,69";"18,18";"68,61";"84,22";"86,04";"81,50";"105,04";"81,12";"50,91";"91,90";"37,98";"77,28";"98,54";"29,24";"37,32";"34,81";"71,87";"71,24";"73,11"
"41 Paraná";"102,75";"64,01";"64,20";"67,30";"89,18";"83,72";"89,71";"95,91";"77,85";"39,58";"73,07";"87,78";"90,27";"79,49";"102,92";"84,09";"71,29";"91,41";"43,75";"77,58";"91,36";"28,86";"33,95";"38,92";"72,61";"74,67";"75,87"
"42 Santa Catarina";"101,29";"72,92";"69,07";"73,08";"89,33";"84,54";"94,28";"96,20";"88,86";"18,81";"76,18";"90,39";"92,84";"84,00";"103,81";"84,75";"74,20";"90,61";"41,84";"79,87";"89,04";"27,06";"41,37";"41,67";"73,40";"73,79";"75,52"
"43 Rio Grande do Sul";"100,13";"66,64";"59,28";"62,48";"75,65";"80,83";"84,35";"91,96";"77,05";"22,88";"69,94";"82,28";"84,64";"78,35";"95,16";"79,51";"67,24";"86,80";"39,90";"73,87";"84,64";"22,88";"33,25";"33,64";"68,16";"73,12";"72,05"
"50 Mato Grosso do Sul";"110,24";"89,50";"70,51";"72,35";"85,34";"92,52";"96,07";"100,15";"85,34";"90,51";"76,61";"97,14";"97,58";"93,30";"107,95";"82,68";"73,62";"93,35";"42,55";"89,64";"85,49";"26,89";"50,01";"44,44";"77,41";"76,80";"81,53"
"51 Mato Grosso";"104,88";"79,43";"62,80";"64,18";"73,85";"81,66";"84,19";"97,01";"67,60";"81,17";"69,89";"84,79";"87,30";"79,20";"102,29";"78,26";"69,98";"87,83";"37,25";"77,44";"85,87";"22,81";"44,14";"39,89";"75,35";"76,43";"77,59"
"52 Goiás";"105,78";"65,43";"63,20";"66,63";"75,15";"79,23";"85,03";"92,84";"64,60";"81,35";"68,51";"81,66";"83,89";"77,04";"104,36";"75,43";"63,62";"88,13";"32,74";"68,99";"83,93";"27,89";"31,44";"38,47";"72,67";"80,41";"78,55"
"53 Distrito Federal";"111,33";"94,59";"64,84";"57,74";"88,97";"84,21";"86,42";"95,41";"76,95";"29,58";"74,21";"87,72";"90,69";"82,19";"96,71";"88,97";"77,00";"88,31";"37,78";"79,87";"5,74";"41,94";"54,21";"45,24";"70,22";"101,36";"84,82"
"Total";"105,76";"71,34";"60,68";"64,08";"78,36";"79,16";"83,60";"94,47";"62,97";"38,99";"67,63";"82,50";"84,50";"77,50";"102,43";"75,82";"51,29";"87,42";"34,64";"74,89";"85,98";"26,01";"39,64";"37,28";"71,98";"75,71";"74,69"
