"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"2004";"84,61";"83,10";"74,57";"83,23";"100,63";"87,86";"82,22";"85,53";"86,09";"83,85";"80,87";"81,74";"82,97";"92,37";"81,31";"95,00";"80,03";"83,30";"77,47";"76,36";"83,10";"76,04";"74,42";"78,08";"85,23";"95,30";"124,23";"82,79"
"2005";"80,75";"72,09";"73,67";"78,26";"89,24";"81,02";"78,77";"83,50";"76,64";"78,93";"72,55";"76,30";"78,07";"76,65";"73,63";"81,47";"77,68";"78,62";"75,27";"72,45";"73,68";"74,04";"70,25";"75,05";"81,56";"81,92";"112,52";"77,04"
"2006";"84,44";"70,66";"74,81";"74,22";"86,99";"76,09";"78,68";"82,76";"78,18";"76,59";"73,24";"76,76";"76,81";"74,40";"73,28";"80,39";"76,92";"77,39";"71,88";"71,61";"74,62";"73,09";"69,27";"76,70";"79,43";"81,86";"114,73";"76,12"
"2007";"86,21";"80,54";"78,84";"76,90";"87,91";"76,76";"81,82";"87,34";"80,35";"78,59";"74,53";"79,48";"80,37";"72,64";"77,60";"78,42";"77,31";"76,60";"71,89";"70,92";"76,87";"73,51";"68,75";"78,40";"82,68";"84,69";"117,55";"76,94"
"2008";"82,39";"75,06";"76,40";"71,13";"84,70";"74,15";"79,53";"83,65";"76,69";"74,75";"70,54";"74,71";"75,92";"69,00";"75,27";"74,57";"74,74";"75,19";"69,15";"70,30";"73,64";"72,19";"67,62";"74,90";"78,13";"80,21";"115,82";"74,32"
"2009";"83,87";"79,18";"78,63";"80,21";"84,04";"84,31";"81,54";"84,62";"78,11";"76,10";"72,82";"76,88";"78,11";"75,31";"76,07";"76,77";"78,04";"75,93";"71,36";"72,49";"76,66";"74,86";"69,20";"78,53";"79,39";"80,41";"137,02";"76,52"
"2010";"79,26";"76,32";"73,30";"75,19";"81,55";"75,31";"75,12";"87,04";"75,44";"74,40";"71,04";"77,15";"74,97";"74,08";"76,12";"75,80";"80,85";"74,74";"67,48";"70,36";"75,22";"74,19";"67,22";"75,77";"73,54";"76,25";"110,68";"74,66"
"2011";"92,75";"84,74";"80,09";"84,42";"84,11";"77,88";"87,78";"87,15";"86,04";"83,44";"81,30";"82,82";"88,72";"73,81";"83,94";"84,73";"87,40";"88,35";"83,91";"84,96";"89,97";"88,07";"81,99";"89,37";"87,40";"96,24";"67,70";"85,31"
"2012";"85,82";"74,35";"79,18";"73,13";"77,87";"73,77";"76,34";"77,67";"77,57";"74,76";"74,96";"70,88";"78,44";"70,45";"74,33";"77,33";"82,73";"79,71";"73,71";"77,28";"79,48";"78,79";"72,95";"83,46";"81,37";"82,52";"64,84";"77,32"
"2013";"76,72";"58,87";"67,06";"60,70";"67,91";"67,66";"72,78";"73,54";"71,99";"73,09";"66,86";"71,43";"71,80";"67,30";"74,76";"72,29";"80,04";"72,30";"68,11";"73,37";"77,59";"72,94";"73,47";"81,81";"75,04";"79,36";"85,83";"73,29"
"2014";"98,18";"59,29";"77,14";"82,30";"71,71";"76,11";"85,09";"83,27";"76,06";"96,57";"82,44";"83,53";"86,44";"84,08";"86,11";"83,78";"90,21";"90,98";"84,08";"88,20";"86,95";"91,81";"84,15";"110,11";"92,61";"86,63";"89,33";"86,31"
"2015";"111,27";"75,54";"94,95";"105,27";"67,51";"88,75";"92,37";"94,40";"80,68";"107,71";"89,17";"86,34";"101,09";"92,74";"91,00";"93,06";"100,33";"98,39";"96,14";"98,63";"96,41";"100,69";"87,69";"113,07";"100,32";"93,55";"71,55";"95,07"
"2016";"63,77";"46,91";"48,27";"57,41";"41,43";"56,62";"60,94";"43,38";"46,94";"56,44";"42,23";"50,10";"51,43";"44,88";"47,05";"44,35";"57,58";"51,19";"47,98";"45,94";"55,32";"58,88";"53,86";"63,55";"58,32";"53,60";"75,28";"50,44"
"2017";"85,05";"63,56";"71,14";"89,16";"57,38";"57,89";"77,95";"64,39";"68,44";"84,51";"55,95";"70,08";"72,86";"74,72";"68,35";"65,14";"76,28";"73,30";"77,31";"73,03";"79,78";"79,42";"73,51";"85,80";"76,56";"72,20";"74,89";"72,93"
"2018";"82,92";"69,84";"75,22";"83,50";"60,48";"63,76";"81,12";"68,11";"72,86";"88,44";"70,92";"74,48";"76,95";"81,19";"75,21";"65,37";"84,74";"80,98";"72,67";"78,80";"82,41";"84,46";"78,27";"94,40";"80,78";"76,79";"82,22";"77,13"
"2019";"82,12";"74,83";"79,80";"77,48";"65,14";"69,27";"82,12";"63,23";"69,58";"75,18";"68,19";"76,94";"71,10";"71,79";"68,84";"65,14";"77,86";"75,32";"61,19";"74,50";"82,87";"83,98";"79,46";"90,84";"78,28";"71,93";"79,12";"73,44"
"2020";"68,04";"49,39";"59,37";"54,70";"47,02";"34,63";"69,80";"42,25";"56,50";"61,98";"54,92";"53,75";"54,15";"52,88";"50,01";"51,40";"68,12";"65,83";"41,72";"61,19";"66,41";"69,06";"67,76";"63,88";"67,03";"61,28";"71,75";"58,43"
"Total";"80,97";"70,13";"71,11";"77,32";"74,62";"72,99";"79,07";"74,39";"73,82";"77,17";"69,85";"73,11";"76,19";"71,56";"75,12";"73,13";"78,56";"77,58";"71,24";"73,11";"75,87";"75,52";"72,05";"81,53";"77,59";"78,55";"84,82";"74,69"
